"","Comp","Day","Venue","GF","GA","xG","xGA","Poss","Attendance","Result"
"1",-0.497793540022431,0.518658035656444,-0.985726238539825,2.3818793035275,-0.110677558954923,-0.193620258304528,-0.976261673791784,-0.432269526307597,0.78608860765388,"W"
"3",-0.497793540022431,1.03142222999861,1.00865010455238,-0.599753781463758,-0.913089861378111,-1.21110121301893,1.19633025253621,0.184246027606516,-1.04788829094606,"W"
"4",-0.497793540022431,0.518658035656444,-0.985726238539825,1.63647103227968,-0.110677558954923,0.936914135822581,-1.11204866918728,0.80076158152063,0.78608860765388,"W"
"5",1.10620786671651,-1.53239874171222,1.00865010455238,-0.599753781463758,0.691734743468266,-1.32415465243164,0.245821284767715,-0.696490477985074,-1.02615633320577,"L"
"6",-0.497793540022431,1.03142222999861,1.00865010455238,0.145654489784056,-0.110677558954923,0.371646938759026,0.517395275558715,0.536540629843153,0.231597052645106,"W"
"8",-0.497793540022431,0.518658035656444,-0.985726238539825,-1.34516205271157,-0.110677558954923,0.597753817584448,-0.297326696814284,0.448466979283993,0.794363300981846,"L"
"9",1.10620786671651,-1.01963454737006,-0.985726238539825,0.145654489784056,-0.110677558954923,-0.645834015955371,1.46790424332721,0.184246027606516,0.803421912625093,"W"
"12",1.10620786671651,-1.01963454737006,-0.985726238539825,0.89106276103187,0.691734743468266,1.27607445406071,0.517395275558715,0.184246027606516,0.766359996719307,"W"
"13",-0.497793540022431,1.03142222999861,-0.985726238539825,-1.34516205271157,3.09897165073783,-0.0805668188918167,2.96156119267771,-1.40107968245835,0.801592769889438,"L"
"14",-0.497793540022431,0.518658035656444,1.00865010455238,0.89106276103187,-0.913089861378111,-0.193620258304528,-0.297326696814284,-1.04878508022171,0.247101214880664,"W"
"16",-0.497793540022431,0.518658035656444,-0.985726238539825,-1.34516205271157,0.691734743468266,-0.871940894780793,0.517395275558715,-1.84144793525414,0.801505667854406,"L"
"17",-0.497793540022431,0.518658035656444,1.00865010455238,-0.599753781463758,2.29655934831464,-0.306673697717239,2.01105222490921,0.624614280402311,-1.46310369193991,"L"
"18",1.10620786671651,-1.53239874171222,1.00865010455238,0.145654489784056,-0.913089861378111,-0.53278057654266,-0.840474678396284,-0.432269526307597,-1.47233650765322,"W"
"20",-0.497793540022431,-0.506870353027889,-0.985726238539825,0.89106276103187,0.691734743468266,0.258593499346316,0.245821284767715,-0.872637779103392,0.803117055502484,"W"
"21",-0.497793540022431,1.03142222999861,-0.985726238539825,-0.599753781463758,-0.913089861378111,-0.871940894780793,-0.976261673791784,0.624614280402311,0.805251055360749,"W"
"23",-0.497793540022431,0.518658035656444,1.00865010455238,-0.599753781463758,-0.913089861378111,0.371646938759026,-0.0257527060232846,-0.16804857463012,-1.17919460875563,"W"
"26",-0.497793540022431,-2.04516293605439,-0.985726238539825,-1.34516205271157,-0.110677558954923,-0.984994334193503,-0.704687683000784,-0.256122225189279,0.799720076136266,"L"
"29",-0.497793540022431,-1.01963454737006,1.00865010455238,0.89106276103187,-0.110677558954923,0.710807256997159,1.46790424332721,0.184246027606516,-1.63700290487975,"W"
"30",-0.497793540022431,0.518658035656444,-0.985726238539825,-0.599753781463758,-0.913089861378111,0.258593499346316,-1.24783566458278,0.272319678165675,0.803421912625093,"W"
"34",-0.497793540022431,-1.53239874171222,-0.985726238539825,0.145654489784056,-0.913089861378111,0.0324866205208939,-0.704687683000784,-0.344195875748438,0.798282892558251,"W"
"35",-0.497793540022431,1.03142222999861,1.00865010455238,1.63647103227968,0.691734743468266,0.597753817584448,0.788969266349715,-0.696490477985074,-0.782488390205922,"W"
"38",-0.497793540022431,1.03142222999861,1.00865010455238,-0.599753781463758,2.29655934831464,-1.32415465243164,2.01105222490921,-2.01759523637246,-0.0660741520741028,"L"
"39",-0.497793540022431,0.518658035656444,-0.985726238539825,0.89106276103187,0.691734743468266,-0.758887455368082,0.381608280163215,-0.960711429662551,0.817706646370214,"W"
"40",1.10620786671651,-1.53239874171222,-0.985726238539825,-1.34516205271157,-0.110677558954923,-0.758887455368082,-0.976261673791784,0.536540629843153,0.798108688488189,"L"
"42",-0.497793540022431,0.518658035656444,1.00865010455238,-1.34516205271157,-0.110677558954923,-0.984994334193503,-1.11204866918728,1.15305618375727,-0.6794902337815,"L"
"44",-0.497793540022431,-1.53239874171222,1.00865010455238,-1.34516205271157,2.29655934831464,-1.77636841008248,1.06054325714071,-2.19374253749078,-0.086935089464081,"L"
"45",-0.497793540022431,0.518658035656444,1.00865010455238,-0.599753781463758,1.49414704589145,0.145540059933605,1.46790424332721,-0.696490477985074,0.241308929551088,"L"
